typo;typo_min;typvoie;prevoie;nomvoie
BOULEVARD GALLIENI;boulevard Gallieni;boulevard;;Gallieni
RUE FERNAND HOLWECK;rue Fernand Holweck;rue;;Fernand Holweck
VILLA DUFRESNE;villa Dufresne;villa;;Dufresne
RUE DES FRERES PERIER;rue des Frères Périer;rue;des;Frères Périer
RUE DROUOT;rue Drouot;rue;;Drouot
RUE ELISA LEMONNIER;rue Élisa Lemonnier;rue;;Élisa Lemonnier
RUE SERGE PROKOFIEV;rue Serge Prokofiev;rue;;Serge Prokofiev
BOULEVARD DE REUILLY;boulevard de Reuilly;boulevard;de;Reuilly
PASSAGE MONPLAISIR;passage Monplaisir;passage;;Monplaisir
RUE FELIBIEN;rue Félibien;rue;;Félibien
RUE FRANCOIS TRUFFAUT;rue François Truffaut;rue;;François Truffaut
RUE JEAN FORMIGE;rue Jean Formigé;rue;;Jean Formigé
PLACE NATIONALE;place Nationale;place;;Nationale
RUE EMILE ALLEZ;rue Émile Allez;rue;;Émile Allez
RUE LECOMTE DU NOUY;rue Lecomte du Noüy;rue;;Lecomte du Noüy
RUE DU RETRAIT;rue du Retrait;rue;du;Retrait
RUE DU RHIN;rue du Rhin;rue;du;Rhin
RUE DE LA FEDERATION;rue de la Fédération;rue;de la;Fédération
IMPASSE DUPUY;impasse Dupuy;impasse;;Dupuy
RUE EMILE DUPLOYE;rue Émile Duployé;rue;;Émile Duployé
RUE DURANTI;rue Duranti;rue;;Duranti
PASSAGE DES TOURELLES;passage des Tourelles;passage;des;Tourelles
VOIE EN/20;voie EN/20;voie;;EN/20
VOIE EA/20;voie EA/20;voie;;EA/20
VOIE U/19;voie U/19;voie;;U/19
PLACE DES VOSGES;place des Vosges;place;des;Vosges
RUE VERNIQUET;rue Verniquet;rue;;Verniquet
ALLEE DE LONGCHAMP;allée de Longchamp;allée;de;Longchamp
VILLA SOUCHET;villa Souchet;villa;;Souchet
PASSAGE TOURLAQUE;passage Tourlaque;passage;;Tourlaque
VOIE DD/12;voie DD/12;voie;;DD/12
RUE SAINTE-LEONIE;rue Sainte-Léonie;rue;;Sainte-Léonie
VILLA SAINTE-MARIE;villa Sainte-Marie;villa;;Sainte-Marie
VOIE R/18;voie R/18;voie;;R/18
RUE TOUSSAINT-FERON;rue Toussaint-Féron;rue;;Toussaint-Féron
AVENUE DE LA PORTE BRUNET;avenue de la Porte Brunet;avenue;de la;Porte Brunet
RUE PAUL-LOUIS COURIER;rue Paul-Louis Courier;rue;;Paul-Louis Courier
SQUARE ORNANO;square Ornano;square;;Ornano
RUE PERRAULT;rue Perrault;rue;;Perrault
PLACE PAUL ELUARD;place Paul Éluard;place;;Paul Éluard
CARREFOUR DE L'ODEON;carrefour de l'Odéon;carrefour;de l';Odéon
RUE DU PELICAN;rue du Pélican;rue;du;Pélican
RUE PAUL BODIN;rue Paul Bodin;rue;;Paul Bodin
RUE PICOT;rue Picot;rue;;Picot
RUE PLEYEL;rue Pleyel;rue;;Pleyel
AVENUE PAUL DOUMER;avenue Paul Doumer;avenue;;Paul Doumer
RUE PIERRE DEMOURS;rue Pierre Demours;rue;;Pierre Demours
RUE DES RECOLLETS;rue des Récollets;rue;des;Récollets
PORTE DU PONT NEUF;porte du Pont Neuf;porte;du;Pont Neuf
RUE POPINCOURT;rue Popincourt;rue;;Popincourt
RUE DU ROI DORE;rue du Roi Doré;rue;du;Roi Doré
AVENUE GORDON BENNETT;avenue Gordon Bennett;avenue;;Gordon Bennett
RUE JEAN MERMOZ;rue Jean Mermoz;rue;;Jean Mermoz
RUE RONSARD;rue Ronsard;rue;;Ronsard
RUE JULES DUPRE;rue Jules Dupré;rue;;Jules Dupré
RUE PROUDHON;rue Proudhon;rue;;Proudhon
AVENUE DE VERSAILLES;avenue de Versailles;avenue;de;Versailles
RUE ROUGET DE L'ISLE;rue Rouget de l'Isle;rue;;Rouget de l'Isle
RUE LE BRUN;rue Le Brun;rue;;Le Brun
RUE DU LIEUVIN;rue du Lieuvin;rue;du;Lieuvin
PLACE JUSSIEU;place Jussieu;place;;Jussieu
QUAI DE LA LOIRE;quai de la Loire;quai;de la;Loire
RUE JEAN DUNAND;rue Jean Dunand;rue;;Jean Dunand
RUE DU SERGENT HOFF;rue du Sergent Hoff;rue;du;Sergent Hoff
RUE DU LIBAN;rue du Liban;rue;du;Liban
COUR DE ROME;cour de Rome;cour;de;Rome
RUE DE RUNGIS;rue de Rungis;rue;de;Rungis
RUE RENE BOULANGER;rue René Boulanger;rue;;René Boulanger
RUE DU LIEUTENANT-COLONEL DAX;rue du Lieutenant-Colonel Dax;rue;du;Lieutenant-Colonel Dax
RUE JEAN DE BEAUVAIS;rue Jean de Beauvais;rue;;Jean de Beauvais
PLACE LACHAMBEAUDIE;place Lachambeaudie;place;;Lachambeaudie
SQUARE DE ROCAMADOUR;square de Rocamadour;square;de;Rocamadour
RUE PIERRE AU LARD;rue Pierre au Lard;rue;;Pierre au Lard
RUE DE LA MAISON BLANCHE;rue de la Maison Blanche;rue;de la;Maison Blanche
PASSAGE DE PEKIN;passage de Pékin;passage;de;Pékin
RUE MARIE STUART;rue Marie Stuart;rue;;Marie Stuart
RUE OUDRY;rue Oudry;rue;;Oudry
RUE DE LA MARNE;rue de la Marne;rue;de la;Marne
RUE DE L'OUEST;rue de l'Ouest;rue;de l';Ouest
VILLA PAUL VERLAINE;villa Paul Verlaine;villa;;Paul Verlaine
PLACE DE LA MADELEINE;place de la Madeleine;place;de la;Madeleine
QUAI DE LA SEINE;quai de la Seine;quai;de la;Seine
VOIE BC/17;voie BC/17;voie;;BC/17
RUE DE PATAY;rue de Patay;rue;de;Patay
VOIE A/9;voie A/9;voie;;A/9
RUE PATURLE;rue Paturle;rue;;Paturle
IMPASSE DE LA PLANCHETTE;impasse de la Planchette;impasse;de la;Planchette
VOIE BF/16;voie BF/16;voie;;BF/16
ROUTE DU CHAMP DE MANOEUVRES;route du Champ de Manoeuvres;route;du;Champ de Manoeuvres
RUE D'ORAN;rue d'Oran;rue;d';Oran
VOIE BB/16;voie BB/16;voie;;BB/16
RUE DE PONDICHERY;rue de Pondichéry;rue;de;Pondichéry
RUE PATRICE DE LA TOUR DU PIN;rue Patrice de La Tour du Pin;rue;;Patrice de La Tour du Pin
RUE LEON DELAGRANGE;rue Léon Delagrange;rue;;Léon Delagrange
RUE LALO;rue Lalo;rue;;Lalo
RUE LOUIS BONNET;rue Louis Bonnet;rue;;Louis Bonnet
RUE LAFERRIERE;rue Laferrière;rue;;Laferrière
PLACE JOACHIM DU BELLAY;place Joachim du Bellay;place;;Joachim du Bellay
RUE LEON FROT;rue Léon Frot;rue;;Léon Frot
AVENUE LEON GAUMONT;avenue Léon Gaumont;avenue;;Léon Gaumont
RUE LEPIC;rue Lepic;rue;;Lepic
RUE LALLIER;rue Lallier;rue;;Lallier
RUE DU JARDINET;rue du Jardinet;rue;du;Jardinet
RUE DU JAPON;rue du Japon;rue;du;Japon
PLACE LOUIS ARMSTRONG;place Louis Armstrong;place;;Louis Armstrong
RUE JOSEPH KESSEL;rue Joseph Kessel;rue;;Joseph Kessel
RUE LOUIS-NICOLAS CLERAMBAULT;rue Louis-Nicolas Clérambault;rue;;Louis-Nicolas Clérambault
AVENUE MATIGNON;avenue Matignon;avenue;;Matignon
ALLEE DU GENERAL DENAIN;allée du Général Denain;allée;du;Général Denain
VILLA GARNIER;villa Garnier;villa;;Garnier
SQUARE GEORGES CONTENOT;square Georges Contenot;square;;Georges Contenot
ALLEE DU GENERAL KOENIG;allée du Général Koenig;allée;du;Général Koenig
CITE HERON;cité Héron;cité;;Héron
PASSAGE HENNEL;passage Hennel;passage;;Hennel
RUE DES IRIS;rue des Iris;rue;des;Iris
RUE GRENIER SUR L'EAU;rue Grenier sur l'Eau;rue;;Grenier sur l'Eau
AVENUE GEORGE V;avenue George V;avenue;;George V
RUE GAUTHEY;rue Gauthey;rue;;Gauthey
RUE GASTON REBUFFAT;rue Gaston Rébuffat;rue;;Gaston Rébuffat
RUE DE GALLIERA;rue de Galliera;rue;de;Galliera
RUE DE LA GARE;rue de la Gare;rue;de la;Gare
PORT DU GROS CAILLOU;port du Gros Caillou;port;du;Gros Caillou
PLACE THEOPHILE BADER;place Théophile Bader;place;;Théophile Bader
PLACE SAINT-AUGUSTIN;place Saint-Augustin;place;;Saint-Augustin
RUE GIT-LE-COEUR;rue Gît-le-Coeur;rue;;Gît-le-Coeur
RUE MALUS;rue Malus;rue;;Malus
RUE MALEVILLE;rue Maleville;rue;;Maleville
RUE MARCEL RENAULT;rue Marcel Renault;rue;;Marcel Renault
RUE MAX JACOB;rue Max Jacob;rue;;Max Jacob
RUE SAINT-AUGUSTIN;rue Saint-Augustin;rue;;Saint-Augustin
RUE MEHUL;rue Méhul;rue;;Méhul
RUE DE LUNEVILLE;rue de Lunéville;rue;de;Lunéville
RUE MALAR;rue Malar;rue;;Malar
PLACE THEODORE RIVIERE;place Théodore Rivière;place;;Théodore Rivière
RUE MAYET;rue Mayet;rue;;Mayet
AVENUE MATHURIN MOREAU;avenue Mathurin Moreau;avenue;;Mathurin Moreau
RUE LUCIEN SAMPAIX;rue Lucien Sampaix;rue;;Lucien Sampaix
RUE LEGRAND;rue Legrand;rue;;Legrand
PARVIS DU TRIBUNAL DE PARIS;parvis du Tribunal de Paris;parvis;du;Tribunal de Paris
PLACE ANTOINE FURETIERE;place Antoine Furetière;place;;Antoine Furetière
VILLA DU BOIS D'ORME;villa du Bois d'Orme;villa;du;Bois d'Orme
RUE DES THERMOPYLES;rue des Thermopyles;rue;des;Thermopyles
PLACE CARMEN;place Carmen;place;;Carmen
VOIE GQ/13;voie GQ/13;voie;;GQ/13
RUE XAVIER PRIVAS;rue Xavier Privas;rue;;Xavier Privas
PLACE CHARLES TILLON;place Charles Tillon;place;;Charles Tillon
VILLA DES TULIPES;villa des Tulipes;villa;des;Tulipes
ALLEE CHARLOTTE PERRIAND;allée Charlotte Perriand;allée;;Charlotte Perriand
PASSERELLE MARCELLE HENRY;passerelle Marcelle Henry;passerelle;;Marcelle Henry
RUE JORGE SEMPRUN;rue Jorge Semprun;rue;;Jorge Semprun
AVENUE DE LA PELOUSE;avenue de la Pelouse;avenue;de la;Pelouse
ESPLANADE HABIB BOURGUIBA;esplanade Habib Bourguiba;esplanade;;Habib Bourguiba
VILLA MARIE VASSILIEFF;villa Marie Vassilieff;villa;;Marie Vassilieff
VILLA TOCCATA;villa Toccata;villa;;Toccata
RUE VAN LOO;rue Van Loo;rue;;Van Loo
RUE SAINT-MERRI;rue Saint-Merri;rue;;Saint-Merri
TERRASSE EMILIENNE MOREAU-EVRARD;terrasse Émilienne Moreau-Évrard;terrasse;;Émilienne Moreau-Évrard
RUE SURCOUF;rue Surcouf;rue;;Surcouf
PASSAGE SAINT-ANTOINE;passage Saint-Antoine;passage;;Saint-Antoine
RUE CECILE FURTADO-HEINE;rue Cécile Furtado-Heine;rue;;Cécile Furtado-Heine
PLACE DE JERUSALEM;place de Jérusalem;place;de;Jérusalem
RUE TITON;rue Titon;rue;;Titon
RUE SAINT-YVES;rue Saint-Yves;rue;;Saint-Yves
RUE DU TERRAGE;rue du Terrage;rue;du;Terrage
PROMENADE COCCINELLE;promenade Coccinelle;promenade;;Coccinelle
RUE SAINT-SPIRE;rue Saint-Spire;rue;;Saint-Spire
SQUARE DE L'UNION;square de l'Union;square;de l';Union
VOIE AX/17;voie AX/17;voie;;AX/17
RUE SAINT-MAUR;rue Saint-Maur;rue;;Saint-Maur
RUE BRUNO COQUATRIX;rue Bruno Coquatrix;rue;;Bruno Coquatrix
RUE CHANA ORLOFF;rue Chana Orloff;rue;;Chana Orloff
RUE DE BELLEFOND;rue de Bellefond;rue;de;Bellefond
BOULEVARD ADOLPHE PINARD;boulevard Adolphe Pinard;boulevard;;Adolphe Pinard
ALLEE ADRIENNE LECOUVREUR;allée Adrienne Lecouvreur;allée;;Adrienne Lecouvreur
RUE DE L'AGENT BAILLY;rue de l'Agent Bailly;rue;de l';Agent Bailly
ALLEE YVETTE GUILBERT;allée Yvette Guilbert;allée;;Yvette Guilbert
RUE SAINTE-ANNE;rue Sainte-Anne;rue;;Sainte-Anne
ALLEE THOMY-THIERRY;allée Thomy-Thierry;allée;;Thomy-Thierry
COURS DU 7EME ART;cours du 7ème Art;cours;du;7ème Art
JARDIN JANE AVRIL;jardin Jane Avril;jardin;;Jane Avril
PARVIS DES 260 ENFANTS;parvis des 260 enfants;parvis;des;260 enfants
RUE ARCHEREAU;rue Archereau;rue;;Archereau
RUE AZAIS;rue Azaïs;rue;;Azaïs
CITE DE L'AVENIR;cité de l'Avenir;cité;de l';Avenir
RUE ARISTIDE BRIAND;rue Aristide Briand;rue;;Aristide Briand
RUE D'ARMAILLE;rue d'Armaillé;rue;d';Armaillé
PLACE ARNAULT TZANCK;place Arnault Tzanck;place;;Arnault Tzanck
RUE GERDA TARO;rue Gerda Taro;rue;;Gerda Taro
PROMENADE FLORENCE ARTHAUD;promenade Florence Arthaud;promenade;;Florence Arthaud
RUE DE L'ABBE ROGER DERRY;rue de l'Abbé Roger Derry;rue;de l';Abbé Roger Derry
RUE HENRI NOGUERES;rue Henri Noguères;rue;;Henri Noguères
RUE DES CHEMINOTS;rue des Cheminots;rue;des;Cheminots
RUE DE BABYLONE;rue de Babylone;rue;de;Babylone
PASSAGE DE DANTZIG;passage de Dantzig;passage;de;Dantzig
RUE ANTOINE HAJJE;rue Antoine Hajje;rue;;Antoine Hajje
VILLA ALBERT ROBIDA;villa Albert Robida;villa;;Albert Robida
RUE ALBIN HALLER;rue Albin Haller;rue;;Albin Haller
PLACE ALBERT LONDRES;place Albert Londres;place;;Albert Londres
PASSAGE ANTOINE CAREME;passage Antoine Carême;passage;;Antoine Carême
RUE DE CLERY;rue de Cléry;rue;de;Cléry
PASSAGE DE CLICHY;passage de Clichy;passage;de;Clichy
PASSAGE BEAUFILS;passage Beaufils;passage;;Beaufils
IMPASSE DE LA DEFENSE;impasse de la Défense;impasse;de la;Défense
QUAI DE CONTI;quai de Conti;quai;de;Conti
RUE ARISTIDE MAILLOL;rue Aristide Maillol;rue;;Aristide Maillol
RUE DU CLOITRE SAINT-MERRI;rue du Cloître Saint-Merri;rue;du;Cloître Saint-Merri
VILLA AMALIA;villa Amalia;villa;;Amalia
IMPASSE DU DOCTEUR JACQUES BERTILLON;impasse du Docteur Jacques Bertillon;impasse;du;Docteur Jacques Bertillon
RUE DU DOCTEUR BLANCHE;rue du Docteur Blanche;rue;du;Docteur Blanche
AVENUE DANIEL LESUEUR;avenue Daniel Lesueur;avenue;;Daniel Lesueur
RUE COLBERT;rue Colbert;rue;;Colbert
PASSAGE DES ACACIAS;passage des Acacias;passage;des;Acacias
RUE CLAUDE LORRAIN;rue Claude Lorrain;rue;;Claude Lorrain
COUR DU COQ;cour du Coq;cour;du;Coq
RUE DESIRE RUGGIERI;rue Désiré Ruggieri;rue;;Désiré Ruggieri
COUR DELEPINE;cour Delépine;cour;;Delépine
RUE DU DOCTEUR BABINSKI;rue du Docteur Babinski;rue;du;Docteur Babinski
RUE DARBOY;rue Darboy;rue;;Darboy
RUE ARSENE HOUSSAYE;rue Arsène Houssaye;rue;;Arsène Houssaye
RUE CLAUDE BERNARD;rue Claude Bernard;rue;;Claude Bernard
RUE DU DAHOMEY;rue du Dahomey;rue;du;Dahomey
PLACE DE COLOMBIE;place de Colombie;place;de;Colombie
RUE DESPREZ;rue Desprez;rue;;Desprez
RUE DIEUDONNE COSTES;rue Dieudonné Costes;rue;;Dieudonné Costes
RUE DE LA CURE;rue de la Cure;rue;de la;Cure
TERRASSE DE CHAMPAGNE;terrasse de Champagne;terrasse;de;Champagne
RUE DEBROUSSE;rue Debrousse;rue;;Debrousse
RUE DES CHARTREUX;rue des Chartreux;rue;des;Chartreux
VILLA DELODER;villa Deloder;villa;;Deloder
RUE BOSSUET;rue Bossuet;rue;;Bossuet
RUE DESAIX;rue Desaix;rue;;Desaix
RUE DE BOULAINVILLIERS;rue de Boulainvilliers;rue;de;Boulainvilliers
IMPASSE CHARLES PETIT;impasse Charles Petit;impasse;;Charles Petit
PLACE DU CARROUSEL;place du Carrousel;place;du;Carrousel
PLACE CHARLES MONSELET;place Charles Monselet;place;;Charles Monselet
IMPASSE DU BOEUF;impasse du Boeuf;impasse;du;Boeuf
IMPASSE DES CARRIERES;impasse des Carrières;impasse;des;Carrières
RUE BENJAMIN FRANKLIN;rue Benjamin Franklin;rue;;Benjamin Franklin
SQUARE DE CHAILLOT;square de Chaillot;square;de;Chaillot
RUE CAUCHOIS;rue Cauchois;rue;;Cauchois
RUE DE CHABLIS;rue de Chablis;rue;de;Chablis
IMPASSE DE LA BOULE ROUGE;impasse de la Boule Rouge;impasse;de la;Boule Rouge
AVENUE BRUNETIERE;avenue Brunetière;avenue;;Brunetière
BOULEVARD BRUNE;boulevard Brune;boulevard;;Brune
AVENUE BOUDON;avenue Boudon;avenue;;Boudon
RUE BOUVIER;rue Bouvier;rue;;Bouvier
RUE DU HAUT PAVE;rue du Haut Pavé;rue;du;Haut Pavé
RUE GOUNOD;rue Gounod;rue;;Gounod
RUE DU CAPITAINE MADON;rue du Capitaine Madon;rue;du;Capitaine Madon
RUE BERTIN POIREE;rue Bertin Poirée;rue;;Bertin Poirée
PLACE DE BRETEUIL;place de Breteuil;place;de;Breteuil
RUE BIOT;rue Biot;rue;;Biot
PASSAGE DU CHANTIER;passage du Chantier;passage;du;Chantier
RUE DU GENERAL GUILLAUMAT;rue du Général Guillaumat;rue;du;Général Guillaumat
RUE CAMILLE DESMOULINS;rue Camille Desmoulins;rue;;Camille Desmoulins
RUE GODOT DE MAUROY;rue Godot de Mauroy;rue;;Godot de Mauroy
RUE GOETHE;rue Goethe;rue;;Goethe
RUE DE CAMPO-FORMIO;rue de Campo-Formio;rue;de;Campo-Formio
RUE BERNOULLI;rue Bernoulli;rue;;Bernoulli
PLACE DU CANADA;place du Canada;place;du;Canada
PASSAGE CARDINET;passage Cardinet;passage;;Cardinet
RUE BERTON;rue Berton;rue;;Berton
VOIE DJ/13;voie DJ/13;voie;;DJ/13
ALLEE DES QUATRE CARREFOURS;allée des Quatre Carrefours;allée;des;Quatre Carrefours
RUE DE LA VISTULE;rue de la Vistule;rue;de la;Vistule
VOIE BG/19;voie BG/19;voie;;BG/19
VOIE BH/20;voie BH/20;voie;;BH/20
ROUTE DU GRAND PRIEUR;route du Grand Prieur;route;du;Grand Prieur
VOIE DE/13;voie DE/13;voie;;DE/13
VOIE AU/14;voie AU/14;voie;;AU/14
VOIE E/17;voie E/17;voie;;E/17
VILLA VIRGINIE;villa Virginie;villa;;Virginie
VOIE CC/16;voie CC/16;voie;;CC/16
RUE VERCINGETORIX;rue Vercingétorix;rue;;Vercingétorix
VOIE Y/18;voie Y/18;voie;;Y/18
VOIE AP/12;voie AP/12;voie;;AP/12
VOIE Q/17;voie Q/17;voie;;Q/17
VOIE EXPRESS RIVE GAUCHE;voie Express Rive Gauche;voie;;Express Rive Gauche
VOIE B/18;voie B/18;voie;;B/18
RUE GEORGES ET MAI POLITZER;rue Georges et Maï Politzer;rue;;Georges et Maï Politzer
VOIE B/6;voie B/6;voie;;B/6
PASSAGE MARIGNAN;passage Marignan;passage;;Marignan
RUE DU MOULIN DES LAPINS;rue du Moulin des Lapins;rue;du;Moulin des Lapins
RUE MADAME;rue Madame;rue;;Madame
RUE MENARS;rue Ménars;rue;;Ménars
SQUARE LOWENDAL;square Lowendal;square;;Lowendal
RUE RODIER;rue Rodier;rue;;Rodier
RUE ELZEVIR;rue Elzévir;rue;;Elzévir
RUE DE L'ELYSEE MENILMONTANT;rue de l'Élysée Ménilmontant;rue;de l';Élysée Ménilmontant
BOULEVARD EXELMANS;boulevard Exelmans;boulevard;;Exelmans
VOIE G/5;voie G/5;voie;;G/5
QUAI DE LA GARONNE;quai de la Garonne;quai;de la;Garonne
RUE DE LA MONTAGNE DE LA FAGE;rue de la Montagne de la Fage;rue;de la;Montagne de la Fage
ROUTE DU CHAMP D'ENTRAINEMENT;route du Champ d'Entrainement;route;du;Champ d'Entrainement
RUE DE LAPPE;rue de Lappe;rue;de;Lappe
PLACE SAINT-JACQUES;place Saint-Jacques;place;;Saint-Jacques
VILLA SONATINE;villa Sonatine;villa;;Sonatine
AVENUE DE L'ERMITAGE;avenue de l'Ermitage;avenue;de l';Ermitage
RUE FROIDEVAUX;rue Froidevaux;rue;;Froidevaux
VILLA EMILE MEYER;villa Émile Meyer;villa;;Émile Meyer
RUE FRANC-NOHAIN;rue Franc-Nohain;rue;;Franc-Nohain
RUE EUGENIE EBOUE;rue Eugénie Éboué;rue;;Eugénie Éboué
RUE MONDETOUR;rue Mondétour;rue;;Mondétour
PLACE DE RIO DE JANEIRO;place de Rio de Janeiro;place;de;Rio de Janeiro
COUR SEDAINE;cour Sedaine;cour;;Sedaine
CITE POTTIER;cité Pottier;cité;;Pottier
IMPASSE RAYMOND QUENEAU;impasse Raymond Queneau;impasse;;Raymond Queneau
RUE PRADIER;rue Pradier;rue;;Pradier
RUE PRISSE D'AVENNES;rue Prisse d'Avennes;rue;;Prisse d'Avennes
PLACE DE LA PORTE DE PANTIN;place de la Porte de Pantin;place;de la;Porte de Pantin
AVENUE DU GENERAL CLAVERY;avenue du Général Clavery;avenue;du;Général Clavery
SQUARE FREDERIC VALLOIS;square Frédéric Vallois;square;;Frédéric Vallois
RUE DU GUESCLIN;rue Du Guesclin;rue;;Du Guesclin
RUE EDMOND GONDINET;rue Edmond Gondinet;rue;;Edmond Gondinet
PLACE EDMOND MICHELET;place Edmond Michelet;place;;Edmond Michelet
RUE DES FOSSES SAINT-JACQUES;rue des Fossés Saint-Jacques;rue;des;Fossés Saint-Jacques
RUE DE DOMREMY;rue de Domrémy;rue;de;Domrémy
PLACE EMILE GOUDEAU;place Émile Goudeau;place;;Émile Goudeau
PLACE DE L'ILE DE SEIN;place de l'Île de Sein;place;de l';Île de Sein
PASSAGE DRIANCOURT;passage Driancourt;passage;;Driancourt
PLACE GEORGES POMPIDOU;place Georges Pompidou;place;;Georges Pompidou
RUE FIZEAU;rue Fizeau;rue;;Fizeau
RUE GABRIELLE;rue Gabrielle;rue;;Gabrielle
SQUARE DU MONT BLANC;square du Mont Blanc;square;du;Mont Blanc
VILLA MARCEAU;villa Marceau;villa;;Marceau
RUE EMILE BERTIN;rue Émile Bertin;rue;;Émile Bertin
AVENUE DE MAZAGRAN;avenue de Mazagran;avenue;de;Mazagran
RUE DUHESME;rue Duhesme;rue;;Duhesme
RUE LAURENCE SAVART;rue Laurence Savart;rue;;Laurence Savart
RUE DU MONT DORE;rue du Mont Dore;rue;du;Mont Dore
PASSAGE SAINT-JULES;passage Saint-Jules;passage;;Saint-Jules
VOIE DJ/19;voie DJ/19;voie;;DJ/19
RUE DES TAILLANDIERS;rue des Taillandiers;rue;des;Taillandiers
VOIE EE/20;voie EE/20;voie;;EE/20
RUE TORRICELLI;rue Torricelli;rue;;Torricelli
AVENUE VELASQUEZ;avenue Velasquez;avenue;;Velasquez
PLACE VENDOME;place Vendôme;place;;Vendôme
ALLEE DE LA REINE MARGUERITE;allée de la Reine Marguerite;allée;de la;Reine Marguerite
ALLEE DES ERABLES;allée des Érables;allée;des;Érables
ALLEE DES DAMES;allée des Dames;allée;des;Dames
VOIE DH/19;voie DH/19;voie;;DH/19
VOIE CJ/16;voie CJ/16;voie;;CJ/16
RUE STANISLAS MEUNIER;rue Stanislas Meunier;rue;;Stanislas Meunier
CARREFOUR DE LONGCHAMP;carrefour de Longchamp;carrefour;de;Longchamp
PLACE DE VERDUN;place de Verdun;place;de;Verdun
ROUTE DE LA MUETTE A NEUILLY;route de la Muette à Neuilly;route;de la;Muette à Neuilly
RUE PIERRE CHARRON;rue Pierre Charron;rue;;Pierre Charron
PLACE DU PERE MARCELLIN CHAMPAGNAT;place du Père Marcellin Champagnat;place;du;Père Marcellin Champagnat
AVENUE DE LA PORTE DE CLICHY;avenue de la Porte de Clichy;avenue;de la;Porte de Clichy
AVENUE DU PERE LACHAISE;avenue du Père Lachaise;avenue;du;Père Lachaise
IMPASSE PIVER;impasse Piver;impasse;;Piver
RUE PAUL FEVAL;rue Paul Féval;rue;;Paul Féval
SQUARE DE PADIRAC;square de Padirac;square;de;Padirac
VOIE BF/17;voie BF/17;voie;;BF/17
CITE NICOLAS POUSSIN;cité Nicolas Poussin;cité;;Nicolas Poussin
RUE PIERRE SEMARD;rue Pierre Semard;rue;;Pierre Semard
AVENUE DE LA PORTE DE CHOISY;avenue de la Porte de Choisy;avenue;de la;Porte de Choisy
RUE NICOLAS FORTIN;rue Nicolas Fortin;rue;;Nicolas Fortin
RUE PIROUETTE;rue Pirouette;rue;;Pirouette
RUE PIERRE LESCOT;rue Pierre Lescot;rue;;Pierre Lescot
RUE PIERRE LE ROY;rue Pierre Le Roy;rue;;Pierre Le Roy
RUE PASTOURELLE;rue Pastourelle;rue;;Pastourelle
RUE DE LA LINGERIE;rue de la Lingerie;rue;de la;Lingerie
RUE RESAL;rue Résal;rue;;Résal
RUE JEAN GOUJON;rue Jean Goujon;rue;;Jean Goujon
CITE VERON;cité Véron;cité;;Véron
RUE JEAN-LOUIS FORAIN;rue Jean-Louis Forain;rue;;Jean-Louis Forain
BOULEVARD KELLERMANN;boulevard Kellermann;boulevard;;Kellermann
RUE RAFFET;rue Raffet;rue;;Raffet
RUE ROSA BONHEUR;rue Rosa Bonheur;rue;;Rosa Bonheur
RUE LE BUA;rue Le Bua;rue;;Le Bua
RUE LA BOETIE;rue La Boëtie;rue;;La Boëtie
RUE LECLUSE;rue Lécluse;rue;;Lécluse
RUE PUTEAUX;rue Puteaux;rue;;Puteaux
RUE ROYALE;rue Royale;rue;;Royale
RUE LEBON;rue Lebon;rue;;Lebon
VILLA DE LA RENAISSANCE;villa de la Renaissance;villa;de la;Renaissance
AVENUE DE LA PORTE DE LA CHAPELLE;avenue de la Porte de la Chapelle;avenue;de la;Porte de la Chapelle
AVENUE DU MARECHAL GALLIENI;avenue du Maréchal Gallieni;avenue;du;Maréchal Gallieni
RUE MONTORGUEIL;rue Montorgueil;rue;;Montorgueil
RUE DE MOUZAIA;rue de Mouzaïa;rue;de;Mouzaïa
SQUARE MOZART;square Mozart;square;;Mozart
IMPASSE DE NEVERS;impasse de Nevers;impasse;de;Nevers
PASSAGE ORMEAUX-GRANDS CHAMPS;passage Ormeaux-Grands Champs;passage;;Ormeaux-Grands Champs
RUE JEAN ET MARIE MOINON;rue Jean et Marie Moinon;rue;;Jean et Marie Moinon
PLACE LUCIEN HERR;place Lucien Herr;place;;Lucien Herr
PASSAGE DE LA MADELEINE;passage de la Madeleine;passage;de la;Madeleine
PLACE OCTAVE CHANUTE;place Octave Chanute;place;;Octave Chanute
VOIE BJ/17;voie BJ/17;voie;;BJ/17
PASSAGE DU PLATEAU;passage du Plateau;passage;du;Plateau
RUE DU PONT NEUF;rue du Pont Neuf;rue;du;Pont Neuf
ROUTE DU DONJON;route du Donjon;route;du;Donjon
PASSAGE DES PETITES ECURIES;passage des Petites Écuries;passage;des;Petites Écuries
VOIE AR/16;voie AR/16;voie;;AR/16
ROUTE DU PESAGE;route du Pesage;route;du;Pesage
ROUTE DE LA PLAINE;route de la Plaine;route;de la;Plaine
PASSAGE PETIT CERF;passage Petit Cerf;passage;;Petit Cerf
PASSAGE DU PONCEAU;passage du Ponceau;passage;du;Ponceau
CITE DE PHALSBOURG;cité de Phalsbourg;cité;de;Phalsbourg
AVENUE DE LA PORTE POUCHET;avenue de la Porte Pouchet;avenue;de la;Porte Pouchet
VOIE BA/16;voie BA/16;voie;;BA/16
VOIE A/6;voie A/6;voie;;A/6
